DATE,WILLSMLCAP
2017-10-25,111593.81
2017-10-26,111912.92
2017-10-27,112674.73
2017-10-30,111578.01
2017-10-31,112392.02
2017-11-01,111821.21
2017-11-02,112066.31
2017-11-03,111961.42
2017-11-06,112285.70
2017-11-07,111049.93
2017-11-08,111172.16
2017-11-09,110630.30
2017-11-10,110696.24
2017-11-13,110659.28
2017-11-14,110378.67
2017-11-15,109829.72
2017-11-16,111334.20
2017-11-17,111761.77
2017-11-20,112441.26
2017-11-21,113507.88
2017-11-22,113432.06
2017-11-23,.
2017-11-24,113546.45
2017-11-27,113137.61
2017-11-28,114727.88
2017-11-29,115321.47
2017-11-30,115603.46
2017-12-01,115163.30
2017-12-04,115024.35
2017-12-05,113902.79
2017-12-06,113348.91
2017-12-07,114178.71
2017-12-08,114363.18
2017-12-11,114147.04
2017-12-12,113899.45
2017-12-13,114330.38
2017-12-14,113148.73
2017-12-15,114738.34
2017-12-18,116095.00
2017-12-19,115313.22
2017-12-20,115505.02
2017-12-21,116062.03
2017-12-22,115853.29
2017-12-25,.
2017-12-26,115979.75
2017-12-27,115950.43
2017-12-28,116390.67
2017-12-29,115515.72
2018-01-01,.
2018-01-02,116519.87
2018-01-03,116735.14
2018-01-04,116853.52
2018-01-05,117215.01
2018-01-08,117379.03
2018-01-09,117222.74
2018-01-10,117168.73
2018-01-11,119074.00
2018-01-12,119431.68
2018-01-15,.
2018-01-16,118114.44
2018-01-17,119149.04
2018-01-18,118392.85
2018-01-19,119759.40
2018-01-22,120475.25
2018-01-23,120934.25
2018-01-24,120257.19
2018-01-25,120360.10
2018-01-26,120822.74
2018-01-29,120024.39
2018-01-30,118789.81
2018-01-31,118322.21
2018-02-01,118580.76
2018-02-02,116216.79
2018-02-05,112041.91
2018-02-06,113237.59
2018-02-07,113120.87
2018-02-08,109766.56
2018-02-09,110763.64
2018-02-12,111810.46
2018-02-13,112111.51
2018-02-14,114041.68
2018-02-15,115174.05
2018-02-16,115581.02
2018-02-19,.
2018-02-20,114621.14
2018-02-21,114628.99
2018-02-22,114566.77
2018-02-23,115996.62
2018-02-26,116693.12
2018-02-27,114936.55
2018-02-28,113324.20
2018-03-01,112904.94
2018-03-02,114665.40
2018-03-05,115741.27
2018-03-06,116857.84
2018-03-07,117551.48
2018-03-08,117375.93
2018-03-09,119120.68
2018-03-12,119408.66
2018-03-13,118760.75
2018-03-14,118220.89
2018-03-15,117659.65
2018-03-16,118396.57
2018-03-19,117235.24
2018-03-20,117283.11
2018-03-21,117920.14
2018-03-22,115333.75
2018-03-23,112899.90
2018-03-26,115319.15
2018-03-27,113243.69
2018-03-28,113442.90
2018-03-29,114668.71
2018-03-30,.
2018-04-02,112045.13
2018-04-03,113521.57
2018-04-04,114831.24
2018-04-05,115716.21
2018-04-06,113587.42
2018-04-09,113516.02
2018-04-10,115564.20
2018-04-11,115813.87
2018-04-12,116482.28
2018-04-13,115988.62
2018-04-16,117023.99
2018-04-17,118094.91
2018-04-18,118419.14
2018-04-19,117765.10
2018-04-20,117138.52
2018-04-23,117106.52
2018-04-24,116491.31
2018-04-25,116387.88
2018-04-26,116937.13
2018-04-27,116930.26
2018-04-30,115905.24
2018-05-01,116448.48
2018-05-02,116627.29
2018-05-03,116020.07
2018-05-04,117483.17
2018-05-07,118478.96
2018-05-08,119004.30
2018-05-09,119851.47
2018-05-10,120433.99
2018-05-11,120595.55
2018-05-14,120205.03
2018-05-15,120162.78
2018-05-16,121206.37
2018-05-17,121855.32
2018-05-18,121876.03
2018-05-21,122813.01
2018-05-22,121960.57
2018-05-23,122141.62
2018-05-24,122185.60
2018-05-25,122031.95
2018-05-28,.
2018-05-29,121783.06
2018-05-30,123619.69
2018-05-31,122624.69
2018-06-01,123515.67
2018-06-04,124166.49
2018-06-05,124864.72
2018-06-06,125780.44
2018-06-07,125499.68
2018-06-08,125913.48
2018-06-11,126066.52
2018-06-12,126461.28
2018-06-13,125925.65
2018-06-14,126418.76
2018-06-15,126331.40
2018-06-18,126973.38
2018-06-19,127011.47
2018-06-20,127962.01
2018-06-21,126629.13
2018-06-22,126630.55
2018-06-25,124618.32
2018-06-26,125317.38
2018-06-27,123310.09
2018-06-28,123793.44
2018-06-29,123698.05
2018-07-02,124379.15
2018-07-03,124787.01
2018-07-04,.
2018-07-05,126016.90
2018-07-06,127160.79
2018-07-09,128002.15
2018-07-10,127449.83
2018-07-11,126543.47
2018-07-12,127008.97
2018-07-13,126828.78
2018-07-16,126222.36
2018-07-17,126920.65
2018-07-18,127334.27
2018-07-19,127938.72
2018-07-20,127571.87
2018-07-23,127706.10
2018-07-24,126323.04
2018-07-25,126635.86
2018-07-26,127326.16
2018-07-27,125184.58
2018-07-30,124400.00
2018-07-31,125650.79
2018-08-01,125645.74
2018-08-02,126647.99
2018-08-03,126241.24
2018-08-06,127077.89
2018-08-07,127308.25
2018-08-08,127112.31
2018-08-09,127289.97
2018-08-10,126881.78
2018-08-13,126053.85
2018-08-14,127397.44
2018-08-15,125939.52
2018-08-16,127035.80
2018-08-17,127640.71
2018-08-20,128132.48
2018-08-21,129376.82
2018-08-22,129745.22
2018-08-23,129356.53
2018-08-24,129981.92
2018-08-27,130311.59
2018-08-28,130391.34
2018-08-29,130849.68
2018-08-30,130577.78
2018-08-31,131145.36
2018-09-03,.
2018-09-04,130750.87
2018-09-05,130317.39
2018-09-06,129444.81
2018-09-07,129292.34
2018-09-10,129575.70
2018-09-11,129763.17
2018-09-12,129631.10
2018-09-13,129647.25
2018-09-14,130165.99
2018-09-17,128820.73
2018-09-18,129328.33
2018-09-19,128776.74
2018-09-20,129945.53
2018-09-21,129381.38
2018-09-24,128792.81
2018-09-25,128987.75
2018-09-26,127731.44
2018-09-27,127705.06
2018-09-28,128213.18
2018-10-01,126692.96
2018-10-02,125544.05
2018-10-03,126578.89
2018-10-04,124831.83
2018-10-05,123785.08
2018-10-08,123634.76
2018-10-09,123073.17
2018-10-10,119703.00
2018-10-11,117383.86
2018-10-12,117520.36
2018-10-15,118032.00
2018-10-16,121057.74
2018-10-17,120588.03
2018-10-18,118466.31
2018-10-19,117207.14
2018-10-22,116846.36
2018-10-23,115910.18
2018-10-24,111705.24
2018-10-25,113951.71
2018-10-26,112663.11
2018-10-29,112260.43
2018-10-30,114356.98
2018-10-31,114898.65
2018-11-01,117318.42
2018-11-02,117406.08
2018-11-05,117490.75
2018-11-06,117977.07
2018-11-07,120033.90
2018-11-08,119639.82
2018-11-09,117738.55
2018-11-12,115549.29
2018-11-13,115277.92
2018-11-14,114409.31
2018-11-15,115900.07
2018-11-16,116152.46
2018-11-19,113886.30
2018-11-20,111935.28
2018-11-21,113287.03
2018-11-22,.
2018-11-23,113282.96
2018-11-26,114629.44
2018-11-27,113698.84
2018-11-28,116395.26
2018-11-29,116122.57
2018-11-30,116810.29
2018-12-03,117982.55
2018-12-04,113116.01
2018-12-05,.
2018-12-06,112915.19
2018-12-07,110768.66
2018-12-10,110194.12
2018-12-11,109943.72
2018-12-12,110970.86
2018-12-13,109393.45
2018-12-14,107687.04
2018-12-17,105090.18
2018-12-18,105106.77
2018-12-19,103059.07
2018-12-20,101283.54
2018-12-21,98918.66
2018-12-24,96854.74
2018-12-25,.
2018-12-26,101598.52
2018-12-27,101818.12
2018-12-28,102229.85
2018-12-31,102999.13
2019-01-01,.
2019-01-02,103357.89
2019-01-03,101706.95
2019-01-04,105346.93
2019-01-07,107126.01
2019-01-08,108794.01
2019-01-09,109791.41
2019-01-10,110342.54
2019-01-11,110501.10
2019-01-14,109628.79
2019-01-15,110514.55
2019-01-16,111309.05
2019-01-17,112222.08
2019-01-18,113567.81
2019-01-21,.
2019-01-22,111796.83
2019-01-23,111525.61
2019-01-24,112383.38
2019-01-25,113811.81
2019-01-28,113382.25
2019-01-29,113234.42
2019-01-30,114340.24
2019-01-31,115304.60
2019-02-01,115634.13
2019-02-04,116761.34
2019-02-05,117078.55
2019-02-06,116900.33
2019-02-07,116008.76
2019-02-08,116065.97
2019-02-11,116959.57
2019-02-12,118361.80
2019-02-13,118758.22
2019-02-14,118909.93
2019-02-15,120674.84
2019-02-18,.
2019-02-19,121048.72
2019-02-20,121597.86
2019-02-21,121156.46
2019-02-22,122164.29
2019-02-25,122065.65
2019-02-26,121132.59
2019-02-27,121444.64
2019-02-28,121080.70
2019-03-01,122064.61
2019-03-04,121093.10
2019-03-05,120621.60
2019-03-06,118419.39
2019-03-07,117459.12
2019-03-08,117263.10
2019-03-11,119147.03
2019-03-12,119291.00
2019-03-13,119829.17
2019-03-14,119556.50
2019-03-15,119790.61
2019-03-18,120574.04
2019-03-19,119838.73
2019-03-20,118839.66
2019-03-21,120287.29
2019-03-22,116212.80
2019-03-25,116616.73
2019-03-26,117903.33
2019-03-27,117541.93
2019-03-28,118635.81
2019-03-29,118970.20
2019-04-01,120304.15
2019-04-02,120057.81
2019-04-03,120605.56
2019-04-04,121147.36
2019-04-05,122267.05
2019-04-08,122054.93
2019-04-09,120585.97
2019-04-10,122104.21
2019-04-11,121990.60
2019-04-12,122588.68
2019-04-15,122134.53
2019-04-16,122413.42
2019-04-17,121333.32
2019-04-18,121232.73
2019-04-19,.
2019-04-22,120809.05
2019-04-23,122653.20
2019-04-24,122866.09
2019-04-25,121842.68
2019-04-26,123059.76
2019-04-29,123447.56
2019-04-30,122956.94
2019-05-01,121892.02
2019-05-02,122240.62
2019-05-03,124531.64
2019-05-06,124610.60
2019-05-07,122274.99
2019-05-08,121667.62
2019-05-09,121316.90
2019-05-10,121587.86
2019-05-13,117881.08
2019-05-14,119366.70
2019-05-15,119730.54
2019-05-16,120469.17
2019-05-17,118927.51
2019-05-20,118126.74
2019-05-21,119645.22
2019-05-22,118616.47
2019-05-23,116422.73
2019-05-24,117282.39
2019-05-27,.
2019-05-28,116445.71
2019-05-29,115486.42
2019-05-30,115155.22
2019-05-31,113679.09
2019-06-03,114156.53
2019-06-04,117077.58
2019-06-05,117007.78
2019-06-06,116907.60
2019-06-07,117534.61
2019-06-10,118143.43
2019-06-11,117876.13
2019-06-12,117841.53
2019-06-13,119000.79
2019-06-14,118069.43
2019-06-17,118644.64
2019-06-18,120016.07
2019-06-19,120379.81
2019-06-20,120999.66
2019-06-21,120072.82
2019-06-24,118672.48
2019-06-25,117998.77
2019-06-26,117759.59
2019-06-27,119807.66
2019-06-28,121382.32
2019-07-01,121778.92
2019-07-02,121303.97
2019-07-03,122268.65
2019-07-04,.
2019-07-05,122593.41
2019-07-08,121494.14
2019-07-09,121636.07
2019-07-10,121799.12
2019-07-11,121394.10
2019-07-12,122350.43
2019-07-15,121701.20
2019-07-16,121691.09
2019-07-17,120874.30
2019-07-18,121243.40
2019-07-19,120745.67
2019-07-22,120524.75
2019-07-23,121441.58
2019-07-24,123365.16
2019-07-25,122054.83
2019-07-26,123335.05
2019-07-29,122554.92
2019-07-30,123670.28
2019-07-31,122583.03
2019-08-01,120616.89
2019-08-02,119373.92
2019-08-05,115833.29
2019-08-06,117033.21
2019-08-07,116978.13
2019-08-08,119386.06
2019-08-09,117983.32
2019-08-12,116289.65
2019-08-13,117633.60
2019-08-14,114358.15
2019-08-15,114017.25
